price,location,bedroom,bathroom,garage,floorSize,propertyType
1595000.0,Green Point,1.0,1.0,1.0,37.0,Apartment
1500000.0,Gardens,0.5,1.0,1.0,24.0,Apartment
2495000.0,Vredehoek,1.0,1.0,1.0,63.0,Apartment
6850000.0,Newlands,3.0,2.5,4.0,496.0,House
3350000.0,Bergvliet,4.0,3.0,4.0,507.0,House
5290000.0,Sea Point,2.0,2.0,1.0,138.0,Apartment
2775000.0,Plumstead,4.0,2.0,3.0,496.0,House
1995000.0,Green Point,1.0,1.0,,55.0,Apartment
3900000.0,Claremont,5.0,2.0,7.0,496.0,House
4600000.0,Claremont,4.0,2.0,6.0,496.0,House
1495000.0,Rondebosch,1.0,1.0,,57.0,Apartment
10950000.0,Fresnaye,4.0,3.5,2.0,398.0,House
5950000.0,Sea Point,3.0,2.5,1.0,198.0,House
2995000.0,Claremont Upper,2.0,2.0,2.0,84.0,Apartment
3230000.0,Bergvliet,4.0,2.0,2.0,560.0,House
1600000.0,Kenilworth,2.0,1.0,1.0,83.0,Apartment
5400000.0,Claremont Upper,4.0,4.0,3.0,499.0,House
11995000.0,Stonehurst Mountain Estate,4.0,4.5,6.0,,House
2800000.0,Sea Point,2.0,1.0,1.0,70.0,Apartment
1699000.0,Tamboerskloof,0.5,1.0,1.0,47.0,Apartment
1950000.0,Kenilworth,2.0,1.0,1.0,90.0,Townhouse
3195000.0,Sea Point,2.0,1.0,1.0,78.0,Apartment
3600000.0,Cape Town City Centre,2.0,2.0,2.0,102.0,Apartment
1595000.0,Kenilworth Upper,2.0,1.0,1.0,75.0,Apartment
3395000.0,Woodstock,3.0,2.0,1.0,323.0,House
4400000.0,Claremont Upper,5.0,3.0,4.0,800.0,House
3899000.0,Green Point,3.0,2.0,2.0,113.0,Apartment
2550000.0,Wynberg Upper,3.0,2.0,1.0,236.0,House
4895000.0,Fresnaye,2.0,2.0,1.0,111.0,Apartment
1750000.0,Gardens,2.0,1.0,1.0,62.0,Apartment
12950000.0,Bantry Bay,2.0,2.0,2.0,117.0,Apartment
15250000.0,Waterfront,2.0,2.5,2.0,153.0,Apartment
2793000.0,Muizenberg,4.0,2.0,,402.0,House
999995.0,Cape Town City Centre,0.5,1.0,,29.0,Apartment
2990000.0,Gardens,2.0,2.0,2.0,157.0,Townhouse
6200000.0,Newlands,4.0,3.0,6.0,616.0,House
1940000.0,Woodstock,1.0,1.0,1.0,65.0,Apartment
2400000.0,Rondebosch,2.0,2.0,2.0,77.0,Apartment
1795000.0,Kenilworth Upper,2.0,1.0,2.0,91.0,Apartment
2650000.0,Sea Point,2.0,1.0,1.0,77.0,Apartment
5950000.0,Green Point,2.0,2.0,2.0,127.0,Apartment
935000.0,Ocean View,3.0,1.0,2.0,293.0,House
2550000.0,Kenilworth,3.0,2.0,2.0,245.0,House
1250000.0,Wynberg Upper,2.0,2.0,1.0,87.0,Apartment
